REF_DATE,GEO,DGUID,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2003,Canada,0,Very good or excellent self-rated mental health,Number of persons,Number,223,units,0,v41129711,1.1.2.1,19019970
2005,Canada,0,Very good or excellent self-rated mental health,Number of persons,Number,223,units,0,v41129711,1.1.2.1,19783687
2003,Canada,0,Very good or excellent self-rated mental health,"Low 95% confidence interval, number of persons",Number,223,units,0,v41129712,1.1.2.2,18920061
2005,Canada,0,Very good or excellent self-rated mental health,"Low 95% confidence interval, number of persons",Number,223,units,0,v41129712,1.1.2.2,19685777
2003,Canada,0,Very good or excellent self-rated mental health,"High 95% confidence interval, number of persons",Number,223,units,0,v41129713,1.1.2.3,19119879
2005,Canada,0,Very good or excellent self-rated mental health,"High 95% confidence interval, number of persons",Number,223,units,0,v41129713,1.1.2.3,19881598
2003,Canada,0,Very good or excellent self-rated mental health,Percent,Percent,239,units,0,v41129715,1.1.2.5,71.6
2005,Canada,0,Very good or excellent self-rated mental health,Percent,Percent,239,units,0,v41129715,1.1.2.5,72.9
2003,Canada,0,Very good or excellent self-rated mental health,"Low 95% confidence interval, percent",Percent,239,units,0,v41129716,1.1.2.6,71.2
2005,Canada,0,Very good or excellent self-rated mental health,"Low 95% confidence interval, percent",Percent,239,units,0,v41129716,1.1.2.6,72.6
2003,Canada,0,Very good or excellent self-rated mental health,"High 95% confidence interval, percent",Percent,239,units,0,v41129717,1.1.2.7,72
2005,Canada,0,Very good or excellent self-rated mental health,"High 95% confidence interval, percent",Percent,239,units,0,v41129717,1.1.2.7,73.3
2005,Canada,0,Very good or excellent self-rated mental health,Statistically different from previous cycle,Number,223,units,0,v41248661,1.1.2.12,1
2003,Canada,0,"Life stress, quite a lot (18 years and over)",Number of persons,Number,223,units,0,v41129839,1.1.18.1,5878307
2005,Canada,0,"Life stress, quite a lot (18 years and over)",Number of persons,Number,223,units,0,v41129839,1.1.18.1,5708013
2003,Canada,0,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v41129840,1.1.18.2,5784983
2005,Canada,0,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v41129840,1.1.18.2,5611745
2003,Canada,0,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v41129841,1.1.18.3,5971630
2005,Canada,0,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v41129841,1.1.18.3,5804282
2003,Canada,0,"Life stress, quite a lot (18 years and over)",Percent,Percent,239,units,0,v41129843,1.1.18.5,24.4
2005,Canada,0,"Life stress, quite a lot (18 years and over)",Percent,Percent,239,units,0,v41129843,1.1.18.5,23.2
2003,Canada,0,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v41129844,1.1.18.6,24.1
2005,Canada,0,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v41129844,1.1.18.6,22.8
2003,Canada,0,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v41129845,1.1.18.7,24.8
2005,Canada,0,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v41129845,1.1.18.7,23.6
2005,Canada,0,"Life stress, quite a lot (18 years and over)",Statistically different from previous cycle,Number,223,units,0,v41248676,1.1.18.12,-1
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,Number of persons,Number,223,units,0,v41129847,1.1.19.1,16358794
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,Number of persons,Number,223,units,0,v41129847,1.1.19.1,16907385
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, number of persons",Number,223,units,0,v41129848,1.1.19.2,16242919
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, number of persons",Number,223,units,0,v41129848,1.1.19.2,16796204
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, number of persons",Number,223,units,0,v41129849,1.1.19.3,16474668
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, number of persons",Number,223,units,0,v41129849,1.1.19.3,17018566
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,Percent,Percent,239,units,0,v41129851,1.1.19.5,61.6
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,Percent,Percent,239,units,0,v41129851,1.1.19.5,62.3
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, percent",Percent,239,units,0,v41129852,1.1.19.6,61.1
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, percent",Percent,239,units,0,v41129852,1.1.19.6,61.9
2003,Canada,0,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, percent",Percent,239,units,0,v41129853,1.1.19.7,62
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, percent",Percent,239,units,0,v41129853,1.1.19.7,62.7
2005,Canada,0,Very strong or somewhat strong sense of belonging to local community,Statistically different from previous cycle,Number,223,units,0,v41248677,1.1.19.12,1
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Number of persons,Number,223,units,0,v41130351,2.1.2.1,341715
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Number of persons,Number,223,units,0,v41130351,2.1.2.1,336828
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"Low 95% confidence interval, number of persons",Number,223,units,0,v41130352,2.1.2.2,333881
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"Low 95% confidence interval, number of persons",Number,223,units,0,v41130352,2.1.2.2,328344
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"High 95% confidence interval, number of persons",Number,223,units,0,v41130353,2.1.2.3,349548
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"High 95% confidence interval, number of persons",Number,223,units,0,v41130353,2.1.2.3,345311
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Percent,Percent,239,units,0,v41130355,2.1.2.5,74.3
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Percent,Percent,239,units,0,v41130355,2.1.2.5,75
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"Low 95% confidence interval, percent",Percent,239,units,0,v41130356,2.1.2.6,72.6
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"Low 95% confidence interval, percent",Percent,239,units,0,v41130356,2.1.2.6,73.2
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"High 95% confidence interval, percent",Percent,239,units,0,v41130357,2.1.2.7,76
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,"High 95% confidence interval, percent",Percent,239,units,0,v41130357,2.1.2.7,76.9
2003,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Statistically different from the Canada rate,Number,223,units,0,v41248739,2.1.2.9,1
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Statistically different from the Canada rate,Number,223,units,0,v41248739,2.1.2.9,1
2005,Newfoundland and Labrador,10,Very good or excellent self-rated mental health,Statistically different from previous cycle,Number,223,units,0,v41248740,2.1.2.12,0
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Number of persons,Number,223,units,0,v41130479,2.1.18.1,61739
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Number of persons,Number,223,units,0,v41130479,2.1.18.1,62098
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v41130480,2.1.18.2,54417
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, number of persons",Number,223,units,0,v41130480,2.1.18.2,55281
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v41130481,2.1.18.3,69060
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, number of persons",Number,223,units,0,v41130481,2.1.18.3,68916
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Percent,Percent,239,units,0,v41130483,2.1.18.5,15
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Percent,Percent,239,units,0,v41130483,2.1.18.5,15.2
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v41130484,2.1.18.6,13.2
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","Low 95% confidence interval, percent",Percent,239,units,0,v41130484,2.1.18.6,13.6
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v41130485,2.1.18.7,16.7
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)","High 95% confidence interval, percent",Percent,239,units,0,v41130485,2.1.18.7,16.9
2003,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Statistically different from the Canada rate,Number,223,units,0,v41248769,2.1.18.9,-1
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Statistically different from the Canada rate,Number,223,units,0,v41248769,2.1.18.9,-1
2005,Newfoundland and Labrador,10,"Life stress, quite a lot (18 years and over)",Statistically different from previous cycle,Number,223,units,0,v41248770,2.1.18.12,0
2003,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,Number of persons,Number,223,units,0,v41130487,2.1.19.1,355878
2005,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,Number of persons,Number,223,units,0,v41130487,2.1.19.1,345346
2003,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, number of persons",Number,223,units,0,v41130488,2.1.19.2,347012
2005,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, number of persons",Number,223,units,0,v41130488,2.1.19.2,337427
2003,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, number of persons",Number,223,units,0,v41130489,2.1.19.3,364743
2005,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"High 95% confidence interval, number of persons",Number,223,units,0,v41130489,2.1.19.3,353265
2003,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,Percent,Percent,239,units,0,v41130491,2.1.19.5,77.3
2005,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,Percent,Percent,239,units,0,v41130491,2.1.19.5,76.9
2003,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, percent",Percent,239,units,0,v41130492,2.1.19.6,75.4
2005,Newfoundland and Labrador,10,Very strong or somewhat strong sense of belonging to local community,"Low 95% confidence interval, percent",Percent,239,units,0,v41130492,2.1.19.6,75.2
