REF_DATE,GEO,DGUID,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2007/2008,Canada,0,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924520,1.1.1.2.1,20349591
2009/2010,Canada,0,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924520,1.1.1.2.1,20768336
2011/2012,Canada,0,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924520,1.1.1.2.1,20738169
2013/2014,Canada,0,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v42924520,1.1.1.2.1,20876178
2007/2008,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924521,1.1.1.2.2,20242397
2009/2010,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924521,1.1.1.2.2,20647844
2011/2012,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924521,1.1.1.2.2,20585816
2013/2014,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v42924521,1.1.1.2.2,20733740
2007/2008,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924522,1.1.1.2.3,20456785
2009/2010,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924522,1.1.1.2.3,20888828
2011/2012,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924522,1.1.1.2.3,20890522
2013/2014,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v42924522,1.1.1.2.3,21018616
2007/2008,Canada,0,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924524,1.1.1.2.5,74.6
2009/2010,Canada,0,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924524,1.1.1.2.5,73.9
2011/2012,Canada,0,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924524,1.1.1.2.5,72.2
2013/2014,Canada,0,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v42924524,1.1.1.2.5,71.1
2007/2008,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924525,1.1.1.2.6,74.2
2009/2010,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924525,1.1.1.2.6,73.5
2011/2012,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924525,1.1.1.2.6,71.6
2013/2014,Canada,0,"Perceived mental health, very good or excellent","Low 95% confidence interval, percent",Percent,239,units,0,v42924525,1.1.1.2.6,70.6
2007/2008,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924526,1.1.1.2.7,75
2009/2010,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924526,1.1.1.2.7,74.3
2011/2012,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924526,1.1.1.2.7,72.7
2013/2014,Canada,0,"Perceived mental health, very good or excellent","High 95% confidence interval, percent",Percent,239,units,0,v42924526,1.1.1.2.7,71.6
